id,neo_summary_id,neo_id,date,name,diameter_min,diameter_max,is_hazardous
71,6,3772990,2015-01-05,(2017 FU101),0.0071871213,0.0160708919,0
72,6,3799750,2015-01-05,(2018 DZ1),0.0291443905,0.0651688382,0
73,6,3838254,2015-01-05,(2019 CR4),0.0139493823,0.0311917671,0
74,6,54136479,2015-01-05,(2021 GL7),0.0421264611,0.0941976306,0
75,6,54226110,2015-01-05,(2021 XM),0.0096506147,0.0215794305,0
76,7,2434007,2015-01-06,434007 (2000 VH61),0.5182686946,1.1588840318,0
77,7,2481442,2015-01-06,481442 (2006 WO3),0.1283970296,0.2871044863,0
78,7,3029650,2015-01-06,(2000 AE205),0.0576175751,0.1288368146,0
79,7,3255465,2015-01-06,(2004 SC56),0.0766575574,0.1714115092,0
80,7,3684352,2015-01-06,(2014 QT362),0.1925550782,0.4305662442,0
81,7,3708651,2015-01-06,(2015 BY509),0.1010543415,0.2259643771,0
82,7,3791294,2015-01-06,(2017 XM2),0.0384197891,0.0859092601,0
83,7,3986832,2015-01-06,(2020 BT2),0.0490405098,0.1096579137,0
84,7,54231658,2015-01-06,(2021 YJ),0.2783267681,0.6223575734,1
85,7,54293660,2015-01-06,(2022 PX),0.0368599699,0.0824213984,0
86,7,54327910,2015-01-06,(2022 WX2),0.042320908,0.0946324271,0
87,7,54499773,2015-01-06,(2015 DA363),0.0576175751,0.1288368146,0
88,8,3545630,2015-01-07,(2010 RE31),0.0175612318,0.0392681082,0
89,8,3704153,2015-01-07,(2015 BE4),0.0483676488,0.1081533507,0
90,8,3704152,2015-01-07,(2015 BD4),0.0253837029,0.0567596853,0
91,8,3843591,2015-01-07,(2019 QZ),0.0167708462,0.0375007522,0
92,8,3843824,2015-01-07,(2019 RH2),0.0222103282,0.0496638037,0
93,8,54201812,2015-01-07,(2021 TL),0.052547853,0.1175005715,0
94,8,54374207,2015-01-07,(2023 MH4),0.0114433973,0.0255882143,0
95,8,54420156,2015-01-07,(2024 AW3),0.1181829909,0.2642652014,0
96,9,2343098,2015-01-08,343098 (2009 DV42),0.4926687055,1.1016407159,0
97,9,3485969,2015-01-08,(2010 AN61),0.0105816886,0.023661375,0
98,9,3595776,2015-01-08,(2012 AC11),0.1087814834,0.2432427915,0
99,9,3623682,2015-01-08,(2013 AF53),0.0133215567,0.0297879063,0
100,9,3703779,2015-01-08,(2015 AA45),0.0384197891,0.0859092601,0
101,9,3735993,2015-01-08,(2015 XF55),0.02658,0.0594346868,0
102,9,3753582,2015-01-08,(2016 JL38),0.0192555078,0.0430566244,0
103,9,3758846,2015-01-08,(2016 RW),0.0595052079,0.1330576898,0
104,9,3799272,2015-01-08,(2018 CZ1),0.0319561887,0.0714562102,0
105,9,54098019,2015-01-08,(2020 XL1),0.0055533491,0.0124176661,0
106,9,54105558,2015-01-08,(2021 AG6),0.0111829138,0.0250057554,0
107,9,54106537,2015-01-08,(2021 BV1),0.0065849878,0.0147244804,0
108,9,54416964,2015-01-08,(2023 XW14),0.138852907,0.310484539,1
109,10,3548085,2021-11-20,(2010 TK19),0.0278326768,0.0622357573,0
110,10,3701881,2021-11-20,(2014 WG498),0.1740022951,0.38908096,0
111,10,3720000,2021-11-20,(2015 KT120),0.0253837029,0.0567596853,0
112,10,3752902,2021-11-20,(2016 JG12),0.0821400526,0.1836707413,0
113,10,3843765,2021-11-20,(2019 RH),0.0167708462,0.0375007522,0
114,10,3879725,2021-11-20,(2019 UT6),0.1092835959,0.2443655492,1
115,10,54099637,2021-11-20,(2020 XW3),0.0194336768,0.0434550225,0
116,10,54145785,2021-11-20,(2021 KC),0.0540200494,0.1207925025,0
117,10,54192743,2021-11-20,(2021 RM2),0.283501249,0.6339280645,0
118,10,54209491,2021-11-20,(2021 TR15),0.0330031183,0.0737972161,0
119,10,54215197,2021-11-20,(2021 UU7),0.0296862251,0.0663804174,0
120,10,54219285,2021-11-20,(2021 VP10),0.0069591304,0.0155610887,0
121,10,54216173,2021-11-20,(2021 VU),0.0732073989,0.1636967205,0
122,10,54222544,2021-11-20,(2021 WK),0.0140137697,0.0313357417,0
123,10,54225003,2021-11-20,(2021 WB3),0.0132603497,0.0296510433,0
124,10,54224999,2021-11-20,(2021 WX2),0.0090480497,0.0202320542,0
125,10,54225721,2021-11-20,(2021 WA6),0.0322518756,0.0721173863,0
126,10,54225730,2021-11-20,(2021 WF6),0.0504144434,0.1127301225,0
127,10,54225735,2021-11-20,(2021 WK6),0.013506878,0.0302022973,0
128,10,54226112,2021-11-20,(2021 WO6),0.0171614894,0.0383742569,0
129,10,54236936,2021-11-20,(2021 SO52),0.1508533561,0.3373183589,0
130,10,54276390,2021-11-20,(2022 HU1),0.0784431412,0.1754041962,0
131,10,54326659,2021-11-20,(2022 VR1),0.0292789148,0.0654696439,0
132,10,54339759,2021-11-20,(2023 BU),0.0030658788,0.0068555133,0
133,10,54402652,2021-11-20,(2023 VM2),0.0318093633,0.0711278987,0
134,11,2003361,2021-11-21,3361 Orpheus (1982 HR),0.3285148278,0.7345814866,1
135,11,3137854,2021-11-21,(2002 TP69),0.109788026,0.2454934893,1
136,11,3672906,2021-11-21,(2014 KT76),0.1467421834,0.3281254972,1
137,11,3788901,2021-11-21,(2017 VE),0.0127219879,0.0284472297,0
138,11,3789451,2021-11-21,(2017 WU),0.04411182,0.0986370281,0
139,11,3794980,2021-11-21,(2017 YU1),0.0152951935,0.0342010925,0
140,11,3893771,2021-11-21,(2019 XC),0.0291443905,0.0651688382,0
141,11,54132513,2021-11-21,(2021 FP2),0.0025150984,0.0056239309,0
142,11,54147751,2021-11-21,(2021 KH2),0.0229379698,0.0512908597,0
143,11,54217962,2021-11-21,(2021 VW5),0.012605352,0.0281864239,0
144,11,54224157,2021-11-21,(2021 WY),0.0485909037,0.1086525639,0
145,11,54224424,2021-11-21,(2021 WB2),0.0322518756,0.0721173863,0
146,11,54223983,2021-11-21,(2021 WP),0.0071212294,0.015923553,0
147,11,54224995,2021-11-21,(2021 WT2),0.0396784754,0.0887237683,0
148,11,54336802,2021-11-21,(2022 YO4),0.0398616229,0.0891332986,0
149,11,54376018,2021-11-21,(2023 OQ3),0.0256185754,0.0572848762,0
150,11,54545783,2021-11-21,(2025 SS),0.0191670368,0.0428587972,0
151,12,3293922,2021-11-22,(2005 TG50),0.0287445144,0.0642746882,0
152,12,3621568,2021-11-22,(2012 XM145),0.2210828104,0.4943561926,0
153,12,3733300,2021-11-22,(2015 VZ2),0.0802703167,0.1794898848,0
154,12,3740666,2021-11-22,(2016 BS),0.040230458,0.0899580388,0
155,12,3771605,2021-11-22,(2017 EE23),0.1160259082,0.2594418179,0
156,12,54217955,2021-11-22,(2021 VN5),0.0511157782,0.1142983547,0
157,12,54221469,2021-11-22,(2021 VQ26),0.0366906138,0.0820427065,0
158,12,54222542,2021-11-22,(2021 WH),0.0242412481,0.0542050786,0
159,12,54223986,2021-11-22,(2021 WU),0.0161642283,0.0361443134,0
160,12,54224420,2021-11-22,(2021 WX1),0.0259749653,0.0580817882,0
161,12,54225496,2021-11-22,(2021 WE4),0.0061172324,0.0136785474,0
162,12,54225711,2021-11-22,(2021 WB5),0.0189913123,0.0424658654,0
163,12,54226787,2021-11-22,(2021 XW1),0.0506471459,0.1132504611,0
164,12,54229941,2021-11-22,(2021 XM5),0.0802703167,0.1794898848,0
165,12,54247991,2021-11-22,(2022 CO7),0.439091446,0.9818383215,0
166,12,54351263,2021-11-22,(2023 FZ2),0.0123184191,0.0275448225,0
167,12,54502871,2021-11-22,(2024 XB1),0.0079534394,0.0177844312,0
168,13,3605335,2021-11-23,(2012 KF47),0.1623883902,0.3631114793,0
169,13,3736506,2021-11-23,(2015 XP261),0.1034081995,0.2312277636,0
170,13,54137143,2021-11-23,(2021 GT9),0.0128989683,0.02884297,0
171,13,54146072,2021-11-23,(2021 KD),0.1226182113,0.2741826558,1
172,13,54169408,2021-11-23,(2021 NT5),0.010012787,0.0223892723,0
173,13,54189755,2021-11-23,(2021 NM39),0.229379698,0.5129085974,0
174,13,54210291,2021-11-23,(2021 TD21),0.1209358264,0.2704207287,0
175,13,54220003,2021-11-23,(2021 VL16),0.0144063837,0.0322136532,0
176,13,54220006,2021-11-23,(2021 VF19),0.0417402433,0.0933340215,0
177,13,54223987,2021-11-23,(2021 WT),0.0255008688,0.0570216761,0
178,13,54224421,2021-11-23,(2021 WY1),0.0336166921,0.0751692087,0
179,13,54224990,2021-11-23,(2021 WO2),0.0309424699,0.069189466,0
180,13,54225734,2021-11-23,(2021 WJ6),0.0123752784,0.0276719637,0
181,13,54225712,2021-11-23,(2021 WC5),0.0057617575,0.0128836815,0
182,13,54228541,2021-11-23,(2021 XV2),0.046190746,0.1032856481,0
183,13,54279841,2021-11-23,(2022 KS),0.0118182991,0.0264265201,0
184,14,2516396,2021-11-24,516396 (2000 WY28),0.1979497587,0.4426291165,0
185,14,3342318,2021-11-24,(2006 SY5),0.1058168859,0.2366137501,0
186,14,3363421,2021-11-24,(2006 XJ2),0.0378926498,0.0847305409,0
187,14,3373980,2021-11-24,(2007 HA),0.2231284644,0.4989304142,1
188,14,3803760,2021-11-24,(2018 GC5),0.0160160338,0.0358129403,0
189,14,54013534,2021-11-24,(2019 NN36),0.2914439045,0.6516883822,0
190,14,3843549,2021-11-24,(2019 PV2),0.0286124454,0.0639793729,0
191,14,54087577,2021-11-24,(2020 VO1),0.0066765941,0.0149293183,0
192,14,54157347,2021-11-24,(2021 LO2),0.006645918,0.0148607244,0
193,14,54194970,2021-11-24,(2021 RH7),0.095182033,0.212833496,0
194,14,54218581,2021-11-24,(2021 UP20),0.0380675544,0.0851216393,0
195,14,54222246,2021-11-24,(2021 WC),0.0400456158,0.0895447192,0
196,14,54222541,2021-11-24,(2021 WG),0.0046833323,0.0104722495,0
197,14,54224419,2021-11-24,(2021 WW1),0.0178055329,0.039814382,0
198,14,54224167,2021-11-24,(2021 WO1),0.0864082036,0.1932146172,0
199,14,54224427,2021-11-24,(2021 WG2),0.0095621373,0.0213815891,0
200,14,54225006,2021-11-24,(2021 WE3),0.0244655496,0.0547066321,0
201,14,54225009,2021-11-24,(2021 WH3),0.0175612318,0.0392681082,0
202,14,54225713,2021-11-24,(2021 WD5),0.0745684261,0.1667400697,0
203,14,54226121,2021-11-24,(2021 XX),0.0222103282,0.0496638037,0
204,14,54229478,2021-11-24,(2021 XW4),0.0333084924,0.0744800533,0
205,14,54228548,2021-11-24,(2021 XB3),0.0780827277,0.1745982871,0
206,14,54228549,2021-11-24,(2021 XC3),0.0224158379,0.0501233372,0
207,14,54269580,2021-11-24,(2022 GL2),0.0490405098,0.1096579137,0
208,14,54316681,2021-11-24,(2022 UD),0.0096506147,0.0215794305,0
209,15,2376879,2021-11-25,376879 (2001 WW1),0.0900647767,0.2013909631,0
210,15,3458748,2021-11-25,(2009 HX51),0.1623883902,0.3631114793,0
211,15,3479013,2021-11-25,(2009 WB105),0.0530340723,0.1185877909,0
212,15,3601677,2021-11-25,(2012 FX35),0.0182202771,0.0407417781,0
