neo_item_id,neo_name,neo_date,diameter_min_km,diameter_max_km,is_hazardous,apod_id,apod_title,apod_date,apod_url,match_type,match_score
31,(2012 SU9),2015-01-02,0.0096506147,0.0215794305,0,2,At the Heart of Orion,2015-01-02,https://apod.nasa.gov/apod/image/1501/TrapeziumCluster_Francsics_apod1024.jpg,date_match,1.000
32,(2013 AJ11),2015-01-02,0.0555334912,0.1241766613,0,2,At the Heart of Orion,2015-01-02,https://apod.nasa.gov/apod/image/1501/TrapeziumCluster_Francsics_apod1024.jpg,date_match,1.000
33,(2014 WX200),2015-01-02,0.1160259082,0.2594418179,0,2,At the Heart of Orion,2015-01-02,https://apod.nasa.gov/apod/image/1501/TrapeziumCluster_Francsics_apod1024.jpg,date_match,1.000
34,(2014 YR43),2015-01-02,0.3151773333,0.7047579421,0,2,At the Heart of Orion,2015-01-02,https://apod.nasa.gov/apod/image/1501/TrapeziumCluster_Francsics_apod1024.jpg,date_match,1.000
35,(2015 AE45),2015-01-02,0.0231502122,0.0517654482,0,2,At the Heart of Orion,2015-01-02,https://apod.nasa.gov/apod/image/1501/TrapeziumCluster_Francsics_apod1024.jpg,date_match,1.000
36,(2015 OO),2015-01-02,0.096506147,0.2157943048,0,2,At the Heart of Orion,2015-01-02,https://apod.nasa.gov/apod/image/1501/TrapeziumCluster_Francsics_apod1024.jpg,date_match,1.000
37,(2015 PN307),2015-01-02,0.3520099801,0.7871182442,0,2,At the Heart of Orion,2015-01-02,https://apod.nasa.gov/apod/image/1501/TrapeziumCluster_Francsics_apod1024.jpg,date_match,1.000
38,(2016 EC157),2015-01-02,0.0506471459,0.1132504611,0,2,At the Heart of Orion,2015-01-02,https://apod.nasa.gov/apod/image/1501/TrapeziumCluster_Francsics_apod1024.jpg,date_match,1.000
39,(2022 CP1),2015-01-02,0.0090064777,0.0201390963,0,2,At the Heart of Orion,2015-01-02,https://apod.nasa.gov/apod/image/1501/TrapeziumCluster_Francsics_apod1024.jpg,date_match,1.000
40,613286 (2005 YQ96),2015-01-02,0.1988634532,0.4446721997,1,2,At the Heart of Orion,2015-01-02,https://apod.nasa.gov/apod/image/1501/TrapeziumCluster_Francsics_apod1024.jpg,date_match,1.000
41,(2023 SW),2015-01-02,0.0107288945,0.0239905375,0,2,At the Heart of Orion,2015-01-02,https://apod.nasa.gov/apod/image/1501/TrapeziumCluster_Francsics_apod1024.jpg,date_match,1.000
42,(2024 BX5),2015-01-02,0.008366715,0.0187085435,0,2,At the Heart of Orion,2015-01-02,https://apod.nasa.gov/apod/image/1501/TrapeziumCluster_Francsics_apod1024.jpg,date_match,1.000
